,School,Zipcode
1107,P.S. 221 Toussaint L'Ouverture,['11213']
1108,P.S. 222 Katherine R. Snyder,['11234']
1109,P.S. 223 Lyndon B. Johnson,['11434']
1110,P.S. 224 Hale A. Woodruff,['11208']
1111,P.S. 226,['11204']
1112,P.S. 226 Alfred De B.Mason,['11204']
1113,P.S. 228 Early Childhood Magnet School of the Arts,"['11369', '11369']"
1114,P.S. 229 Dyker,['11228']
1115,P.S. 229 Emanuel Kaplan,['11377']
1116,P.S. 230 Doris L. Cohen,['11218']
1117,P.S. 232 Lindenwood,['11414']
1118,P.S. 233 Langston Hughes,['11236']
1119,P.S. 234,['10007']
1120,P.S. 234 Independence School,['10007']
1121,P.S. 235 Janice Marie Knight School,['11203']
1122,P.S. 236 Langston Hughes,['10453']
1123,P.S. 236 Mill Basin,['11234']
1124,P.S. 238 Anne Sullivan,['11223']
1125,P.S. 239,['11385']
1126,P.S. 241 Emma L. Johnston,['11225']
1127,P.S. 242 - The Young Diplomats Magnet Academy,['10027']
1128,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,['11354']
1129,P.S. 243K- The Weeksville School,['11213']
1130,P.S. 244 Richard R. Green,['11203']
1131,P.S. 245,['11226']
1132,P.S. 246 Poe Center,['10468']
1133,P.S. 247 Brooklyn,['11204']
1134,P.S. 249 The Caton,['11226']
1135,P.S. 250 George H. Lindsay,['11206']
1136,P.S. 251 Paerdegat,['11234']
1137,P.S. 251 Queens,['11413']
1138,P.S. 253,['11235']
1139,P.S. 254 - The Rosa Parks School,['11418']
1140,P.S. 254 Dag Hammarskjold,['11235']
1141,P.S. 255 Barbara Reing School,['11229']
1142,P.S. 256 Benjamin Banneker,['11216']
1143,P.S. 257 John F. Hylan,['11206']
1144,P.S. 261 Philip Livingston,['11201']
1145,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,['11233']
1146,P.S. 264 Bay Ridge Elementary School For The Arts,['11209']
1147,P.S. 268 Emma Lazarus,['11203']
1148,P.S. 269 Nostrand,['11210']
1149,P.S. 270 Johann DeKalb,['11205']
1150,P.S. 272 Curtis Estabrook,['11236']
1151,P.S. 273,['11207']
1152,P.S. 273 Wortman,['11207']
1153,P.S. 274 Kosciusko,['11221']
1154,P.S. 276 Louis Marshall,['11236']
1155,P.S. 277,['10455']
1156,P.S. 277 Gerritsen Beach,['11229']
1157,"P.S. 279 Captain Manuel Rivera, Jr.",['10453']
1158,P.S. 279 Herman Schreiber,['11236']
1159,P.S. 28 - The Thomas Emanuel Early Childhood Cente,['11368']
1160,P.S. 280,['11372']
1161,P.S. 282 Park Slope,['11217']
1162,P.S. 287 Bailey K. Ashford,['11201']
1163,P.S. 288 The Shirley Tanyhill,['11224']
1164,P.S. 289 George V. Brower,['11213']
1165,P.S. 290 Juan Morel Campos,['11207']
1166,P.S. 290 Manhattan New School,['10028']
1167,P.S. 291,['10453']
1168,P.S. 295,['11215']
1169,P.S. 297 Abraham Stockton,['11206']
1170,P.S. 298 Dr. Betty Shabazz,['11212']
1171,P.S. 299 Thomas Warren Field,['11221']
1172,P.S. 3 Raul Julia Micro Society,['10457']
1173,P.S. 305 Dr. Peter Ray,['11216']
1174,P.S. 306,['10453']
1175,P.S. 306 Ethan Allen,['11207']
1176,P.S. 307 Daniel Hale Williams,['11201']
1177,P.S. 308 Clara Cardwell,['11221']
1178,P.S. 309 The George E. Wibecan Preparatory Academy,['11221']
1179,P.S. 310 Marble Hill,['10463']
1180,P.S. 312 Bergen Beach,['11234']
1181,P.S. 315 Lab School,['10468']
1182,P.S. 316 Elijah Stroud,['11238']
1183,P.S. 319,['11211']
1184,P.S. 321 William Penn,['11215']
1185,P.S. 326,['11234']
1186,P.S. 327 Dr. Rose B. English,['11212']
1187,P.S. 328 Phyllis Wheatley,['11207']
1188,P.S. 329 Surfside,['11224']
1189,P.S. 330,['11368']
1190,P.S. 333 Manhattan School for Children,['10025']
1191,P.S. 335 Granville T. Woods,['11213']
1192,P.S. 340,['10011']
1193,P.S. 345 Patrolman Robert Bolden,['11208']
1194,P.S. 346 Abe Stark,['11239']
1195,P.S. 35 The Clove Valley School,['10301']
1196,P.S. 36,['11207']
1197,P.S. 360,['10463']
1198,P.S. 361 East Flatbush Early Childhood School,['11226']
1199,P.S. 368,['11206']
1200,P.S. 370,['11224']
1201,P.S. 371 - Lillian L. Rashkis,['11232']
1202,P.S. 372 -The Children's School,['11215']
1203,P.S. 373 - Brooklyn Transition Center,['11206']
1204,P.S. 375 Jackie Robinson School,['11225']
1205,P.S. 376,['11237']
1206,P.S. 377,['11417']
1207,P.S. 377 Alejandrina B. De Gautier,['11221']
1208,P.S. 38 Roberto Clemente,['10029']
1209,P.S. 380 John Wayne Elementary,['11206']
1210,P.S. 39 Francis J. Murphy Jr.,['10305']
1211,P.S. 396,['10453']
1212,P.S. 397 Foster-Laurie,['11203']
1213,P.S. 398 Walter Weaver,['11212']
1214,P.S. 399 Stanley Eugene Clark,['11226']
1215,P.S. 452,['10023']
1216,P.S. 5 Port Morris,['10455']
1217,P.S. 503: The School of Discovery,['11220']
1218,P.S. 506: The School of Journalism & Technology,['11220']
1219,P.S. 527 - East Side School for Social Action,['10128']
1220,P.S. 536,['10460']
1221,P.S. 56 The Louis Desario School,['10309']
1222,P.S. 58 - The School of Heroes,['11378']
1223,P.S. 583,['10472']
1224,P.S. 6 Corporal Allan F. Kivlehan School,['10307']
1225,P.S. 65 - The Raymond York Elementary School,['11417']
1226,P.S. 65 The Academy of Innovative Learning,['10301']
1227,P.S. 66,['11236']
1228,P.S. 69 Vincent D. Grippo School,['11220']
1229,P.S. 723,['10454']
1230,P.S. 74 Future Leaders Elementary School,['10301']
1231,P.S. 748 Brooklyn School for Global Scholars,['11214']
1232,P.S. 77 Lower Lab School,['10128']
1233,P.S. 770 New American Academy,['11212']
1234,P.S. 78,['10304']
1235,P.S. 8 Shirlee Solomon,['10308']
1236,P.S. 81Q Jean Paul Richter,['11385']
1237,P.S. 889,['11218']
1238,P.S. 89,['10282']
1239,P.S. 9 Ryer Avenue Elementary School,['10458']
1240,P.S. 90 Edna Cohen School,['11224']
1241,P.S. 97 The Highlawn,['11223']
1242,P.S. K134,['11218']
1243,P.S. K225 - The Eileen E. Zaglin,['11235']
1244,P.S. K369 - Coy L. Cox School,['11217']
1245,P.S. K721 - Brooklyn Occupational Training Center,['11223']
1246,P.S. K753 - School for Career Development,['11238']
1247,P.S. K811 Connie Lekas School,['11235']
1248,P.S. M079 - Horan School,['10035']
1249,P.S. M094,['10280']
1250,P.S. M169 - Robert F. Kennedy,['10128']
1251,P.S. M721 - Manhattan Occupational Training Center,['10014']
1252,P.S. M811 - Mickey Mantle School,['10024']
1253,P.S. Q016 The Nancy DeBenedittis School,['11368']
1254,P.S. Q023 @ Queens Children Center,['11426']
1255,P.S. Q256,['11791']
1256,P.S. Q811,['11362']
1257,P.S. X015 Institute for Environmental Learning,['10453']
1258,P.S. X037 - Multiple Intelligence School,['10463']
1259,P.S. X088 - S. Silverstein Little Sparrow School,['10456']
1260,P.S. X721 - Stephen McSweeney School,['10461']
1261,P.S./ I.S. 155 Nicholas Herkimer,['11233']
1262,P.S./ IS 178 Holliswood,['11423']
1263,P.S./I.S. 045 Horace E. Greene,['11207']
1264,P.S./I.S. 087 Middle Village,['11379']
1265,P.S./I.S. 104 The Fort Hamilton School,['11209']
1266,P.S./I.S. 113 Anthony J. Pranzo,['11385']
1267,P.S./I.S. 116 William C. Hughley,['11433']
1268,P.S./I.S. 137 Rachel Jean Mitchell,['11233']
1269,P.S./I.S. 157 The Benjamin Franklin Health & Scien,['11205']
1270,P.S./I.S. 187 Hudson Cliffs,['10033']
1271,P.S./I.S. 208,['11426']
1272,P.S./I.S. 217 Roosevelt Island,['10044']
1273,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,['10452']
1274,P.S./I.S. 224,['10454']
1275,P.S./I.S. 266,['11426']
1276,P.S./I.S. 268,['11433']
1277,P.S./I.S. 295,['11428']
1278,P.S./I.S. 30 Mary White Ovington,['11209']
1279,P.S./I.S. 323,['11212']
1280,P.S./I.S. 54,['10458']
1281,P.S./I.S. 78Q,['11109']
1282,P.S./M.S 042 R. Vernam,['11692']
1283,P.S./M.S. 004 Crotona Park West,['10457']
1284,P.S./M.S. 031 The William Lloyd Garrison,['10451']
1285,P.S./M.S. 114 Belle Harbor,['11694']
1286,P.S./M.S. 11X498 - VAN NEST ACADEMY,['10462']
1287,P.S./M.S. 138 Sunrise,"['25111', '11422']"
1288,P.S./M.S. 147 Ronald McNair,['11411']
1289,P.S./M.S. 200 - The Pomonok School & STAR Academy,['11365']
1290,P.S./M.S. 280 Mosholu Parkway,['10467']
1291,P186X Walter J. Damrosch School,['10459']
1292,P469X - The Bronx School for Continuous Learners,['10467']
1293,PAVE Academy Charter School,['11231']
1294,PROGRESS High School for Professional Careers,['11211']
1295,Pace High School,['32571']
1296,Pan American International High School,['11373']
1297,Pan American International High School at Monroe,['10472']
1298,Park East High School,['10029']
1299,Park Slope Collegiate,['11215']
1300,Parkside Preparatory Academy,['11226']
1301,Pathways College Preparatory School: A College Boa,['11412']
1302,Pathways in Technology Early College High School (,['11213']
1303,Pathways to Graduation,['11435']
1304,Paula Hedbavny School,['10034']
1305,Pelham Academy of Academics and Community Engageme,['10467']
1306,Pelham Gardens Middle School,['10469']
1307,Pelham Lab High School,['10461']
1308,Pelham Preparatory Academy,['10469']
1309,Peninsula Preparatory Academy Charter School,['11691']
1310,Performing Arts and Technology High School,['11207']
1311,Pioneer Academy,['07470']
1312,Port Richmond High School,['10302']
1313,Port Richmond School for Visionary Learning,['10302']
1314,Pre-K Center at Bishop Ford School Site,['11215']
1315,Preparatory Academy for Writers: A College Board S,['11413']
1316,Professional Pathways High School,['11235']
1317,Professional Performing Arts High School,['10036']
1318,Professor Juan Bosch Public School,['10040']
1319,Providing Urban Learners Success In Education High,['10457']
1320,Queens Academy High School,['11354']
1321,Queens Collegiate: A College Board School,"['16701', '11432']"
1322,Queens Explorers Elementary School,['11416']
1323,Queens Gateway to Health Sciences Secondary School,['11432']
1324,"Queens High School for Information, Research, and",['11691']
1325,Queens High School for Language Studies,['11354']
1326,Queens High School for the Sciences at York Colleg,['11451']
1327,"Queens High School of Teaching, Liberal Arts and t",['11426']
1328,Queens Metropolitan High School,['11375']
1329,Queens Preparatory Academy,['11413']
1330,Queens Satellite High School for Opportunity,['11432']
1331,"Queens School of Inquiry, The",['11366']
1332,Queens Transition Center,['11435']
1333,Queens United Middle School,['11413']
1334,Queens Vocational and Technical High School,['11101']
1335,Quest to Learn,['10011']
1336,Rachel Carson High School for Coastal Studies,['11224']
1337,Ralph A. Fabrizio School,['11209']
1338,Red Hook Neighborhood School,['11231']
1339,Redwood Middle School,['91360']
1340,Renaissance Charter High School for Innovation,['10029']
1341,Renaissance High School for Musical Theater & Tech,['10461']
1342,Renaissance School of the Arts,['10035']
1343,Repertory Company High School for Theatre Arts,['10036']
1344,Research and Service High School,['11213']
1345,Restart Academy,['10019']
1346,Richard R. Green High School of Teaching,['10004']
1347,Richmond Hill High School,['31324']
1348,River East Elementary,['10035']
1349,Riverdale / Kingsbridge Academy (Middle School / H,['10463']
1350,Riverdale Avenue Community School,['11212']
1351,Riverdale Avenue Middle School,['11212']
1352,Riverton Street Charter School,['11412']
1353,Robert E. Peary School,['11385']
1354,Robert F. Kennedy Community High School,['11366']
1355,Robert H. Goddard High School of Communication Art,['11417']
1356,Rochdale Early Advantage Charter School,"['12205', '11434']"
1357,Rockaway Collegiate High School,['11694']
1358,Rockaway Park High School for Environmental Sustai,['11694']
1359,Ronald Edmonds Learning Center II,['11233']
1360,Rosalyn Yalow Charter School,['10452']
1361,Rose Hill Pre-K Center,['10458']
1362,STEM Institute of Manhattan,['10026']
1363,Samara Community School,['10460']
1364,Satellite Academy High School,['10001']
1365,Satellite East Middle School,['11216']
1366,Scholars' Academy,['11694']
1367,School for Cooperative Technical Education,['10128']
1368,School for Environmental Citizenship,['10453']
1369,School for Excellence,['10456']
1370,School for Global Leaders,['10002']
1371,"School for Human Rights, The",['11203']
1372,School for Tourism and Hospitality,['10456']
1373,School in the Square Public Charter School,['10033']
1374,School of Performing Arts,['60540']
1375,School of Science & Technology,['79900']
1376,School of the Future Brooklyn,['11207']
1377,School of the Future High School,['10010']
1378,Schuylerville Preparatory High School,['10461']
1379,"Science Skills Center High School for Science, Tec",['11201']
1380,Science and Technology Academy: A Mott Hall School,['10456']
1381,Secondary School for Journalism,['11215']
1382,Sheridan Academy for Young Leaders,['10456']
1383,Sisulu-Walker Charter School of Harlem,['10026']
1384,Sixth Avenue Elementary School,['80011']
1385,Soundview Academy for Culture and Scholarship,['10451']
1386,South Bronx Academy for Applied Media,['10456']
1387,South Bronx Charter School for International Cultu,['10454']
1388,South Bronx Classical Charter School,['10459']
1389,South Bronx Classical Charter School  IV,['10456']
1390,South Bronx Classical Charter School II,['10454']
1391,South Bronx Classical Charter School III,['10456']
1392,South Bronx Community Charter School,['10451']
1393,South Bronx Preparatory: A College Board School,['10454']
1394,South Brooklyn Community High School,['11231']
1395,South Richmond High School I.S./P.S. 25,['10309']
1396,Space Shuttle Columbia School,['10314']
1397,Special Music School,['10023']
1398,Spring Creek Community School,['11239']
1399,Spruce Street School,['10038']
1400,St. HOPE Leadership Academy Charter School,['10030']
1401,Staten Island School of Civic Leadership,['10314']
1402,Staten Island Technical High School,['10306']
1403,Stephen T. Mather Building Arts & Craftsmanship Hi,['10019']
1404,Stuyvesant High School,['10282']
1405,Success Academy Charter School - Bed Stuy 3,['11221']
1406,Success Academy Charter School - Bed-Stuy 1,['11206']
1407,Success Academy Charter School - Bed-Stuy 2,['11206']
1408,Success Academy Charter School - Bensonhurst - New,['11204']
1409,Success Academy Charter School - Bergen Beach - Ne,['11234']
1410,Success Academy Charter School - Bronx 1,['10451']
1411,Success Academy Charter School - Bronx 2,['10456']
1412,Success Academy Charter School - Bronx 3,['10456']
1413,Success Academy Charter School - Bronx 4 - New Yor,['10473']
1414,Success Academy Charter School - Bushwick,['11221']
1415,Success Academy Charter School - Cobble Hill,['11201']
1416,Success Academy Charter School - Far Rockaway,['11691']
1417,Success Academy Charter School - Flatbush,['11226']
1418,Success Academy Charter School - Harlem 1,['10026']
1419,Success Academy Charter School - Harlem 2,['10035']
1420,Success Academy Charter School - Harlem 3,['10029']
1421,Success Academy Charter School - Harlem 4,['10026']
1422,Success Academy Charter School - Harlem 5,['10030']
1423,Success Academy Charter School - Harlem 6,['10027']
1424,Success Academy Charter School - Hudson Yards,['10036']
1425,Success Academy Charter School - Rosedale - New Yo,['10005']
1426,Success Academy Charter School - South Jamaica,['11436']
1427,Success Academy Charter School - Springfield Garde,['11413']
1428,Success Academy Charter School - Upper West,['10024']
1429,Success Academy Charter School - Washington Height,['10040']
1430,Success Academy Charter School - Williamsburg,['11211']
1431,Success Academy Crown Heights (Brooklyn 7),['11225']
1432,Success Academy Fort Greene (Brooklyn 5),['11205']
1433,Success Academy Hell's Kitchen (Manhattan 2),['10019']
1434,Success Academy Prospect Heights (Brooklyn 6),['11216']
1435,Success Academy Union Square (Manhattan 1),['10003']
1436,Summit Academy Charter School,['11231']
1437,Sunset Park Avenues Elementary School,['11232']
1438,Sunset Park High School,['11232']
1439,Sunset Park Prep,['11232']
1440,Susan E. Wagner High School,['10314']
1441,THE JUDITH S. KAYE HIGH SCHOOL,['10128']
1442,Tag Young Scholars,['10029']
1443,Talent Unlimited High School,['10065']
1444,Teachers College Community School,['10027']
1445,Teachers Preparatory High School,['11212']
1446,"Technology, Arts, and Sciences Studio",['10003']
1447,The 30th Avenue School (G&T Citywide),['11102']
1448,The 47 American Sign Language & English Lower Scho,['10010']
1449,The 51 Avenue Academy (The Path To Academic Excell,['11373']
1450,The Academy for Excellence through the Arts,['11375']
1451,The Academy of Talented Scholars,['11204']
1452,The Academy of Urban Planning and Engineering,['11221']
1453,The Active Learning Elementary School,['11355']
1454,The Anderson School,['10024']
1455,The Angelo Patri Middle School,['10457']
1456,The Barbara Esselborn School,['10308']
1457,The Bellaire School,['11427']
1458,The Bilingual Bicultural School,['10029']
1459,The Boerum Hill School for International Studies,['11201']
1460,The Bronx High School of Science,['10468']
1461,The Bronx Mathematics Preparatory School,['10473']
1462,The Bronx School of Young Leaders,['10453']
1463,The Bronxwood Preparatory Academy,['10466']
1464,The Brooklyn Academy of Global Finance,['11221']
1465,"The Brooklyn New School, P.S. 146",['11231']
1466,The Brooklyn School for Math and Research,['11237']
1467,The Brooklyn School for Social Justice,['11237']
1468,The Children's Lab School,['11104']
1469,The Children's Workshop School,['10009']
1470,The Christa McAuliffe School\I.S. 187,['11219']
1471,The Cinema School,['10472']
1472,The College Academy,['10040']
1473,The Eagle Academy for Young Men of Staten Island,['10304']
1474,The East Village Community School,['10009']
1475,The Emerson School,['11433']
1476,The Equality Charter School,['10473']
1477,The Equity Project Charter School (TEP),['10040']
1478,The Ezra Jack Keats Pre-K Center,['11418']
1479,The Fresh Creek School,['11236']
1480,The Global Learning Collaborative,['10024']
1481,The Gordon Parks School,['11422']
1482,"The Gregory Jocko Jackson School of Sports, Art, a",['11212']
1483,The Harbor View School,['10301']
1484,The High School For Language And Diplomacy,['10003']
1485,"The High School for Enterprise, Business and Techn",['11211']
1486,The High School for Global Citizenship,['11225']
1487,The High School of Fashion Industries,['10011']
1488,The Highbridge Green School,['10452']
1489,The Hunts Point School,['10474']
1490,The International Charter School of New York,['11201']
1491,The Jermaine L. Green STEM Institute of Queens,['11434']
1492,The Joan Snow Pre-K Center,['11230']
1493,The Kathleen Grimm School for Leadership and Susta,['10309']
1494,The Laboratory School of Finance and Technology: X,['10454']
1495,The Lexington Academy,['10029']
1496,The Little Brooklyn Pre-K Center,['11215']
1497,The Longwood Academy of Discovery,['10459']
1498,"The Marie Curie School for Medicine, Nursing, and",['10463']
1499,The Matilda Avenue School,['10470']
1500,The Maurice Sendak Community School,['11215']
1501,The Metropolitan Soundview High School,['10472']
1502,The Michael J. Petrides School,['10301']
1503,The Mott Hall School,['10027']
1504,The New American Academy at Roberto Clemente State,['11212']
1505,The New School for Leadership and Journalism,['10463']
1506,The Opportunity Charter School,['10026']
1507,The Peck Slip School,['10038']
1508,"The Queens College School for Math, Science and Te",['11367']
1509,The Queens School for Leadership and Excellence,['11432']
1510,The Richard H. Hungerford School,['10304']
1511,The Richmond Pre-K Center,['10301']
1512,The River School,['20007']
1513,The Riverside School for Makers and Artists,['10023']
1514,The Riverview School,['11101']
1515,The SEEALL Academy,['11204']
1516,The STAR Academy - P.S.63,['10009']
1517,The STEAM Bridge School,['10462']
1518,"The School for Classics: An Academy of Thinkers, W",['11208']
1519,The School for Inquiry and Social Justice,['10472']
1520,The School of Integrated Learning,['11213']
1521,The School of Science and Applied Learning,['10460']
1522,The Science And Medicine Middle School,['11236']
1523,The Uft Charter School,['11207']
1524,The Urban Assembly Bronx Academy of Letters,['10451']
1525,The Urban Assembly School for Collaborative Health,['11208']
1526,The Urban Assembly School for Emergency Management,['10038']
1527,The Urban Assembly School for Global Commerce,['10035']
1528,The Urban Assembly School for Green Careers,['10024']
1529,The Urban Assembly School for Law and Justice,['11201']
1530,The Urban Assembly Unison School,['11238']
1531,The Vida Bogart School for All Children,['10474']
1532,The Walton Avenue School,['10452']
1533,The Williamsburg High School of Art and Technology,['11206']
1534,The Windsor Terrace School,['11215']
1535,The Woodside Community School,['11377']
1536,Theatre Arts Production Company School,['10457']
1537,Thomas A. Edison Career and Technical Education Hi,['11432']
1538,Thomas C. Giordano Middle School 45,['10458']
1539,Thurgood Marshall Academy Lower School,['10039']
1540,Thurgood Marshall Academy for Learning and Social,['10030']
1541,Tompkins Square Middle School,['10009']
1542,Tottenville High School,['10312']
1543,Townsend Harris High School,['11367']
1544,Transit Tech Career and Technical Education High S,['11208']
1545,Union Square Academy for Health Sciences,['10003']
1546,Unity Center for Urban Technologies,['10016']
1547,Unity Prep Charter School,['11221']
1548,University Heights Secondary School,['10455']
1549,University Neighborhood High School,['10002']
1550,University Neighborhood Middle School,['10002']
1551,University Prep Charter High School,['10455']
1552,Urban Academy Laboratory High School,['10065']
1553,Urban Action Academy,['11236']
1554,Urban Assembly Academy for Future Leaders,['10027']
1555,"Urban Assembly Academy of Government and Law, The",['10002']
1556,Urban Assembly Gateway School for Technology,['10019']
1557,Urban Assembly Institute of Math and Science for Y,['11201']
1558,Urban Assembly Maker Academy,['10038']
1559,Urban Assembly New York Harbor School,['10004']
1560,Urban Assembly School for Applied Math and Science,['10457']
1561,Urban Assembly School for Criminal Justice,['11204']
1562,"Urban Assembly School for Media Studies, The",['10023']
1563,Urban Assembly School for Music and Art,['11201']
1564,Urban Assembly School for Wildlife Conservation,['10460']
1565,Urban Assembly School for the Performing Arts,['10027']
1566,"Urban Assembly School of Business for Young Women,",['10004']
1567,"Urban Assembly School of Design and Construction,",['10019']
1568,Urban Dove Charter School,['11216']
1569,Urban Institute of Mathematics,['10465']
1570,Urban Scholars Community School,['10456']
1571,Urban Science Academy,['02132']
1572,VOICE Charter School of New York,['11106']
1573,VOYAGES Preparatory,['11373']
1574,Validus Preparatory Academy,['10457']
1575,Van Siclen Community Middle School,['11207']
1576,Vanguard High School,['34475']
1577,Veritas Academy,['17540']
1578,Victory Collegiate High School,['11236']
1579,Village Academy,['43065']
1580,Vista Academy,['80249']
1581,Voyages Prep - South Queens,['11434']
1582,W. H. Maxwell Career and Technical Education High,['11207']
1583,W.E.B. Dubois Academic High School,['11225']
1584,WHIN Music Community,['10032']
1585,Wadleigh Secondary School for the Performing & Vis,['10026']
1586,Washington Heights Academy,['10034']
1587,Washington Heights Expeditionary Learning School,['10033']
1588,Waterside Children's Studio School,['11694']
1589,Waterside School For Leadership,['11694']
1590,Wave Preparatory Elementary School,['11691']
1591,West Bronx Academy for the Future,['10458']
1592,West Brooklyn Community High School,['11219']
1593,West End Secondary School,['10023']
1594,West Prep Academy,['10025']
1595,Westchester Square Academy,['10461']
1596,William Cullen Bryant High School,['11103']
1597,William E. Grady Career and Technical Education Hi,['11235']
1598,Williamsburg Charter High School,['11206']
1599,Williamsburg Collegiate Charter School,['11211']
1600,Williamsburg High School for Architecture and Desi,['45176']
1601,Williamsburg Preparatory School,['11211']
1602,Wings Academy,['10460']
1603,Women's Academy of Excellence,['10473']
1604,World Academy for Total Community Health High Scho,['11207']
1605,World Journalism Preparatory: A College Board Scho,['11358']
1606,World View High School,['10468']
1607,York Early College Academy,['11433']
1608,Yorkville Community School,['10128']
1609,Yorkville East Middle School,['10075']
1610,Young Leaders Elementary School,['10454']
1611,Young Voices Academy of the Bronx,['10462']
1612,Young Women's Leadership School,['11432']
1613,Young Women's Leadership School of Brooklyn,['11206']
1614,Young Women's Leadership School of the Bronx,['10453']
1615,"Young Women's Leadership School, Astoria",['11102']
1616,"Young Women's Leadership School, Queens",['11432']
